dataset,record_id,label,tfidf_prediction,biobert_prediction,pubmed_prediction,biobert_prob_1,pubmed_prob_1,text
healthfact,26465,1,0,0,0,0.3901962,0.0058723353,"Republicans “have shown themselves willing to cut millions off their health insurance and eliminate preexisting condition protections for millions more, even in the middle of this public health crisis."
healthfact,9409,1,0,0,0,0.17035872,0.0005772725,Gone With A Shot? Hopeful New Signs Of Relief For Migraine Sufferers
healthfact,10173,1,0,0,0,0.050477833,0.0006563165,An implant that hits a nerve
healthfact,24341,0,1,1,1,0.8828416,0.9998851,"Chile ranks third internationally in economic freedom, while the U.S. ranks 17th."
healthfact,42037,0,1,1,1,0.940232,0.9977145,Henry Winkler Dead at 77 – A Huge Trump Supporter and Lifelong Gun Lover.
healthfact,24605,0,1,1,1,0.5879085,0.974621,"The health care reform plan would set limits similar to the ""socialized"" system in Britain, where people are allowed to die if their treatment would cost more than $22,000."
healthfact,10499,1,0,0,0,0.046828598,0.0007139712,Extracting the facts about pomegranate pills
healthfact,26210,1,0,0,0,0.039600033,0.00056234235,Facebook post Says researchers found a “fabric that kills coronaviruses”
healthfact,13529,0,1,1,1,0.9505113,0.9996068,"California’s Prop 55 ""prevents $4 billion in new cuts to our schools."
healthfact,27241,1,0,0,0,0.16281877,0.03156208,A 26-year-old man named Alex Smith of Minneapolis died because he had aged out of his mother's health insurance and couldn't afford insulin.
healthfact,37869,1,0,0,0,0.101271056,0.0006146289,COVID-19 doctors are reporting inexplicable blood-clotting and hematological complications in otherwise young and healthy patients.
healthfact,19970,0,1,1,1,0.8670022,0.6284062,"Citizens Property Insurance has ""over $500 billion worth of risk, with less than $10 billion worth of surplus."
healthfact,15592,0,1,1,1,0.80937064,0.9985648,The proportion of Rhode Islanders entering substance abuse treatment primarily due to marijuana use has reached its highest point in 20 years.
healthfact,22809,0,1,1,1,0.8363209,0.77722675,Texas Veterans Commission Says one out of three U.S. homeless men is a veteran.
healthfact,10665,1,0,0,0,0.22719237,0.0007345284,"Timely use of Novartis' Entresto could prevent or postpone over 28,000 US deaths per year among HFrEF patients, according to an expert analysis in JAMA Cardiology"
healthfact,27696,1,0,0,0,0.103731975,0.039318,Pokémon Go developer Niantic is working on a Harry Potter version of the hugely popular augmented-reality game.
healthfact,11231,1,0,0,0,0.11715399,0.0009153717,Another Potential Benefit of Cutting Calories: Better Memory
healthfact,35340,0,1,1,1,0.5129733,0.87740034,"When U.S. President Donald Trump was asked what he'd say to people who lost family members to COVID-19, he replied, ""I would say this didn't hurt anyone as much as it hurt me."
healthfact,24790,1,0,0,0,0.3990467,0.0016448549,"The stimulus bill contains ""$20 million for the removal of small to medium-sized fish passage barriers"" and ""$25 million to rehabilitate off-roading trails for ATVs."
healthfact,35211,1,0,0,0,0.4676313,0.23827724,U.S. President Donald Trump golfed several times and held a number of rallies after learning about the threat of the coronavirus.
healthfact,35456,1,0,0,0,0.44396916,0.31288552,"Walter ""Blackie"" Wetzel, a former leader of the Blackfeet Nation, designed the Indian head logo for the Washington D.C. ""Redskins"" NFL team."
curated_health_claims,curated_0019,1,0,0,0,0.21802294,0.0012086459,"Vaccines are designed to prevent disease, not to cure an active infection."
fakehealth,news_reviews_00290,1,0,0,0,0.32409897,0.06867087,"Amsterdam, The Netherlands: A test that measures the levels of five chemicals in the breath has shown promising results for the detection of cancers of the oesophagus and stomach in a large patient trial presented at the European Cancer Congress 2017 [1]. Together, stomach and oesophageal cancer account for around 1.4 million new cancer diagnoses each year worldwide [2]. Both tend to be diagnosed late, because the symptoms are ambiguous, meaning the five-year survival rate for these two types of cancer is only 15%. The new research, involving more than 300 patients, showed that the test could diagnose cancer with an overall accuracy of 85%. Dr Sheraz Markar, an NIHR Clinical Trials Fellow from Imperial College London, under the supervision of Professor George Hanna, told the Congress: ""At present the only way to diagnose oesophageal cancer or stomach cancer is with endoscopy. This method is expensive, invasive and has some risk of complications. ""A breath test could be used as a non-invasive, first-line test to reduce the number of unnecessary endoscopies. In the longer term this could also mean earlier diagnosis and treatment, and better survival."" The trial was based on the results of previous research that suggested differences in the levels of specific chemicals (butyric, pentanoic and hexanoic acids, butanal, and decanal) between patients with stomach or oesophageal cancer and patients with upper gastrointestinal symptoms without cancer. The new research aimed to test whether this 'chemical signature' that seemed to typify cancer could be the basis of a diagnostic test. In the new study, the research team collected breath samples from 335 people at St Mary's Hospital, Imperial College Healthcare NHS Trust; University College London Hospital; and the Royal Marsden Hospital, London. Of these, 163 had been diagnosed with stomach or oesophageal cancer and 172 showed no evidence of cancer when they had an endoscopy. All the samples were analysed with a technique called selected ion flow-tube mass spectrometry, which is able to accurately measure small amounts of different chemicals in mixtures of gases such as breath. Researchers measured the levels of the five chemicals in each sample to see which ones matched to the 'chemical signature' that indicated cancer. The results showed that the test was 85% accurate overall, with a sensitivity of 80% and a specificity of 81%. This means that not only was the breath test good at picking up those who had cancer (sensitivity), it was also good at correctly identifying who did not have cancer (specificity). Dr Markar said: ""Because cancer cells are different to healthy ones, they produce a different mixture of chemicals. This study suggests that we may be able detect these differences and use a breath test to indicate which patients are likely to have cancer of the oesophagus and stomach, and which do not. However, these findings must be validated in a larger sample of patients before the test could be used in the clinic."" Over the next three years, the researchers will continue with a larger trial, using the test with patients who are being given an endoscopy for gastrointestinal symptoms but not yet diagnosed with cancer. This will assess the ability of the test to pick up cases within a group that is likely to contain only a small percentage of cancers. The team is also working on breath tests for other types of cancer, such as colorectal and pancreatic, which could be used as first-line tests in general practice surgeries. ###"
fakehealth,story_reviews_00998,0,1,1,1,0.83412963,0.99941754,"By Denise Mann HealthDay Reporter MONDAY, Oct. 10, 2011 (HealthDay News) -- An experimental Alzheimer's disease drug, gantenerumab, may help lower levels of amyloid plaque in the brains of people with the disease, an early clinical trial indicates. The new study, which appears online Oct. 10 in the Archives of Neurology, is among the first to show the effects of an anti-amyloid drug in humans with Alzheimer's disease, but experts caution that while promising, more research is needed before this drug can be deemed safe or effective. And, in what may turn out to be an equally important caveat, experts also say that it's by no means certain that reducing levels of amyloid plaque would stave off memory loss and the other mental declines associated with the disease because the role of the plaque in Alzheimer's isn't fully understood. Alzheimer's disease is the most common form of dementia. Symptoms including serious memory loss, confusion and mood changes develop gradually and worsen with time. Recently, many strides have been made in diagnosing Alzheimer's disease earlier, but doctors have been stymied by a lack of effective treatments to stop or slow the course of the disease. It's long been known that a protein fragment called beta-amyloid builds up in the spaces between nerve cells in the brains of people with Alzheimer's disease. The new drug, gantenerumab, targets these amyloid proteins by priming the body's immune system to recognize them as invaders. Of 16 people with mild-to-moderate Alzheimer's disease, those who received two to seven infusions of the experimental drug every four weeks showed marked reductions in the amount of plaque in their brains via imaging tests that were conducted several months after their treatments. By contrast, amyloid load increased among people who were randomized to receive the placebo. The new drug was given at either 60 or 200 milligrams (mg) doses. The higher dose yielded greater reductions in amyloid levels, the study showed. People who were given the 60 mg doses saw a nearly 16 percent reduction in the amount of amyloid, and those given the 200 mg doses saw a 36 percent reduction. The new study was conducted and funded by the drug's manufacturer, F. Hoffmann-LaRoche Ltd., in Basel, Switzerland. The big question is whether or not reducing amyloid levels has any effect on the symptoms or progression of Alzheimer's disease, said Dr. Patrick Lyden, chief of neurology at Cedars-Sinai Medical Center in Los Angeles. ""There is a growing concern that amyloid is a guilty bystander, but not the actual culprit in the brains of people with Alzheimer's disease, and taking away the bystander may not help the patient,"" he said. There are approximately one dozen therapies, including vaccines, for Alzheimer's disease that are currently in the pipeline, Lyden noted. ""They are all extremely exciting and promising in animals,"" he said. ""This is the first one to show a preliminary result in people, but we have a huge way to go to make sure it is safe and improves symptoms."" Many in the Alzheimer's research community are awaiting these drugs with bated breath, but ""none are ready for prime time,"" he said. The leading theory of Alzheimer's disease is that an imbalance in the production or clearance of the amyloid plaque in the brain initiates a cascade of events that lead to dementia, explained Dr. Neelum Aggarwal, an associate professor of neurological sciences at Rush Alzheimer's Disease Research Center at Rush University Medical Center in Chicago. ""Accumulation of the plaques cause a variety of cellular responses: inflammation, neuronal death, and thus any potential treatment that can alter these processes would be beneficial,"" she said. The hope is that gantenerumab or other drugs like it will not only prevent amyloid from accumulating in the brain, but also slow down the cognitive impairment that occurs in people with Alzheimer's disease, she added. That said, these experimental drugs carry the potential for serious side effects, including causing the immune system to go haywire. ""The main issue that remains for this type of drug development is managing the immune response,"" Aggarwal said. Other side effects include a potentially fatal fluid build-up in certain areas of the brain. ""This is problematic in that use of these treatments may carry a very high risk for neurologic complications, thus necessitating heightened monitoring, and diminishing its applicability as a treatment for a larger patient population such as the Alzheimer's disease population,"" she said. If any of these drugs make it through the pipeline, it also needs to be determined who will get them, including whether the drugs will be given to prevent Alzheimer's in patients at high-risk of the disease or to treat it once it's started. The need for a drug to delay the onset or slow progression of Alzheimer's disease can't be underestimated, Aggrawal said. In the United States alone, there are 5.4 million people with Alzheimer's disease, and the numbers are expected to increase to 13 million by 2050, when approximately three of every five people over the age of 85 will have Alzheimer's disease, she said. More information For more information about Alzheimer's disease signs, symptoms and treatments, visit the Alzheimer's Association."
fakehealth,news_reviews_00258,0,1,1,1,0.5263059,0.9891254,"More than 35 million Americans are trying to quit smoking. Smoking cigarettes causes 480,000 premature deaths each year due mainly to a two-fold risk of cardiovascular disease and a 20-fold risk of lung cancer. In a commentary published in the current issue of the American Journal of Medicine, researchers from the Charles E. Schmidt College of Medicine at Florida Atlantic University reassure clinicians and their patients that varenicline, whose brand name is Chantix, is a safe and effective way to achieve smoking cessation and that failure to use this drug has caused preventable heart attacks and deaths from cardiovascular disease. In 2006, varenicline was approved as a safe and effective means to quit smoking and achieved permanent quit rates of approximately 25 percent. In 2009, however, varenicline received a black box warning by the FDA based on their adverse event reports of neuropsychiatric symptoms like depression and thoughts of suicide. There were plausible alternative explanations including that nearly half of the subjects had psychiatric histories, 42 percent were taking psychotropic drugs and about 42 percent were suffering from depression. Nonetheless, since then, there has been a 76 percent decline in the number of prescriptions dispensed from a peak of about 2 million in the last quarter of 2007 to about 531,000 in the first quarter of 2014. In their commentary, the FAU researchers emphasize that, until recently, the totality of randomized evidence on varenicline had been restricted to eight small trials, which did not demonstrate a hazard. The researchers caution that the reliable detection of small to moderate risks and benefits of drug therapies requires cogent data from large-scale randomized trials designed a priori to test the hypothesis. Such a large randomized trial was recently completed that included both apparently healthy individuals as well as those with severe mental illness. The trial was conducted for 12 weeks on about 8,000 long-term smokers and included equal subgroups of those without as well as with psychiatric disorders. In subjects without psychiatric disorders, those treated with varenicline had less neuropsychiatric symptoms and in subjects without psychiatric disorders there were no increases in these symptoms. Both groups of participants assigned at random to varenicline achieved significantly higher abstinence rates at 12 weeks than those assigned to placebo, nicotine patch or bupropion. Just a few months ago, the FDA removed the black box warning from varenicline. The commentary was coauthored by Dianna Gaballa, a fourth-year medical student; Joanna Drowos, D.O., M.P.H., an associate professor of integrated medical science and associate chair of the Department of Integrated Medical Science; and Charles H. Hennekens, M.D., Dr.P.H., the first Sir Richard Doll Professor and senior academic advisor to the dean, all in FAU's Charles E. Schmidt College of Medicine. ""The existing totality of evidence suggests an urgent need to increase the use of varenicline in the general population as well as in those with serious mental illness who on average die about 20 years earlier than the general population, in part, because their smoking rates may be as high as 75 percent,"" said Hennekens. Quitting smoking significantly reduces risks of cardiovascular disease beginning within a matter of months and reaching the non-smoker status within a few years, even among older adults. For lung and other cancers, however, reductions do not even begin to emerge for years after quitting and, even after 10 years, quitters achieve death rates only about midway between the continuing smoker and non-smoker. ""For reducing risks of cardiovascular disease it's never too late to quit, but to reduce risks of cancer, it's never too early,"" said Hennekens. The authors speculate that if use of varenicline had not plummeted by 76 percent following the black box warning in 2009, perhaps 17,000 premature deaths from cardiovascular disease may have been avoided each year during the last few years. Public health efforts and effective cessation treatments including behavioral counseling and medication have resulted in a 14 percent decrease in smoking in the U.S. while the rates are markedly increasing in developing countries. ### According to the U.S. Centers for Disease Control and Prevention, heart disease is the leading killer among men and women causing approximately 600,000 deaths each year. Among the numerous honors and recognitions Hennekens has received include the Ochsner Award for reducing premature deaths from cigarettes in 2014. From 1995 to 2005, Science Watch ranked him as the third most widely cited medical researcher in the world and five of the top 20 were his former trainees and/or fellows. In 2012, Science Heroes ranked Hennekens No. 81 in the history of the world for having saved more than 1.1 million lives. In 2016, he was ranked the No. 14 ""Top Scientist in the World"" with an H-index of 173. About the Charles E. Schmidt College of Medicine: FAU's Charles E. Schmidt College of Medicine is one of 145 accredited medical schools in the U.S. The college was launched in 2010, when the Florida Board of Governors made a landmark decision authorizing FAU to award the M.D. degree. After receiving approval from the Florida legislature and the governor, it became the 134th allopathic medical school in North America. With more than 70 full and part-time faculty and more than 1,300 affiliate faculty, the college matriculates 64 medical students each year and has been nationally recognized for its innovative curriculum. To further FAU's commitment to increase much needed medical residency positions in Palm Beach County and to ensure that the region will continue to have an adequate and well-trained physician workforce, the FAU Charles E. Schmidt College of Medicine Consortium for Graduate Medical Education (GME) was formed in fall 2011 with five leading hospitals in Palm Beach County. In June 2014, FAU's College of Medicine welcomed its inaugural class of 36 residents in its first University-sponsored residency in internal medicine. About Florida Atlantic University:"
fakehealth,story_reviews_00610,0,1,1,1,0.6067176,0.9959117,"CHICAGO—Using whole-brain radiation to treat cancer that has spread to the brain is a treatment that for many patients is worse than the disease, a new study suggests. Researchers said the technique, when used after a more precise radiotherapy to kill the cancer, resulted in more memory loss and other cognitive deficits than treating with radiotherapy alone. While the more aggressive treatment was better at preventing recurrence of tumors in the brain, it didn’t extend survival. “The potential benefits of whole brain radiation therapy are far outweighed by the detriments of the therapy itself,” said Paul Brown, professor of radiation oncology at the University of Texas MD Anderson Cancer Center, Houston. The “negative impact” on cognitive function “was more than I would have expected.” Dr. Brown is lead author of the study which was presented Sunday at the annual meeting of the American Society of Clinical Oncology. The study involved 213 patients who had one to three small tumors, or metastases in the brain. It was funded by the National Institutes of Health. Brain metastases is a common problem in cancer affecting an estimated 400,000 to 600,000 patients annually in the U.S. alone, some 200,000 of whom get whole brain radiation during the course of their disease. Lung cancer is the most common malignancy to spread to the brain, followed by breast cancer and melanoma. Whole brain radiation was first used in 1954 and has long been a standard strategy for brain metastases, said Andrew Lassman, chief of neuro-oncology at New York-Presbyterian/Columbia University Medical Center. Though doctors have curbed its use in recent years amid concerns over its deleterious effect on cognitive function, whether the treatment or recurrence of metastases is worse for the patient has remained controversial, he said. Whole brain radiation is typically administered in 10 20-minute treatments given over two weeks while radiosurgery, in which radiation is delivered in a powerful, focused beam with instruments known by such names as the gammaknife, is a longer procedure given in a single day. For the study, patients were randomly assigned to either radiosurgery followed by whole brain radiation or radiosurgery alone. Patients then underwent seven cognitive tests three months after treatment and at several subsequent intervals. Patients treated with both approaches performed significantly worse three months later on tests involving immediate recall of words, delayed recall and measures of verbal communication. Patients given both treatments also scored lower on a quality of life questionnaire, Dr. Brown said. Median overall survival was 7.5 months for those receiving both treatments and 10.7 months for those on radiosurgery alone, a result considered statistically about the same. The study will “push the use of whole-brain radiation therapy more toward the latter portion of the patient’s course, when they have no more good viable options,” Dr. Brown said. The new report is “the most comprehensive study that lets us quantify the risk/benefit” of the treatment, said Brian M. Alexander, a radiation oncologist at Dana-Farber Cancer Institute, Boston. Dr Lassman said the findings conflict with some other studies. He said patients for whom brain metastases rather than their primary cancer pose the biggest threat to survival, for instance, may benefit from whole-brain radiation. Dr. Lassman added that both whole brain radiation and recurrent metastases are “bad for the brain.” He said researchers are studying alternate approaches, including irradiating the brain while shielding the hippocampus, a component of the brain critical to memory, and giving certain drugs used to treat dementia that may protect the brain against the effects of radiation. Write to Ron Winslow at ron.winslow@wsj.com"
fakehealth,story_reviews_00020,1,0,0,0,0.26989082,0.30761525,"En Español By Steven Reinberg HealthDay Reporter TUESDAY, Oct. 16, 2018 (HealthDay News) -- Stimulating a specific set of nerves that are nestled along the spine may deliver relief to those who suffer from chronic back pain and cut the need for opioid painkillers, new research suggests. The therapy, which targets the root ganglion nerves, is more effective than other spine stimulation procedures because it places tiny leads precisely at the area where pain originates, unlike other devices that provide more generalized stimulation, the researchers said. ""In certain patients who have not gotten relief from other treatments, this therapy may give sustained pain relief and may allow them to reduce opioids for at least 18 months and perhaps longer,"" said lead researcher Robert McCarthy. He's a professor of anesthesiology at Rush University Medical Center in Chicago. The dorsal root ganglions are nerve cells, on both sides of each of the spine's vertebra, and are the gateway to pain between nerves in different parts of the body, spinal cord and brain. Stimulating this area interrupts pain signals between the painful area and the brain, the researchers explained. A pacemaker-like device implanted under the skin in the lower back sends small electronic pulses through a wire placed near the specific dorsal root ganglion associated with the pain, McCarthy said. The pulses replace pain with tingling or numbness. The strength of stimulation, programmed by a doctor, is based on the patient's level of pain, he said. The treatment has two advantages over spinal cord stimulation, McCarthy said. In spinal cord stimulation, a wire runs along the spinal cord sending pulses along the entire spine, but the pulses don't target the specific pain source. In addition, dorsal root ganglion stimulation requires significantly lower levels of electric current to quell pain, McCarthy said. The goal of this study, he said, was to judge the effectiveness of the therapy over a long period. McCarthy and his colleagues implanted the device in 67 people suffering with chronic back pain and followed them for three to 18 months. Among the participants, 17 had the device for over a year. Before receiving the device, most patients rated their pain as an 8 on a scale of one to 10, with 10 being the worst. For most patients, the device reduced pain by 33 percent, which was significant, the researchers reported. In addition, patients said they experienced a 27 percent reduction in disability or limitations on daily activities caused by pain. In all, 94 percent of the participants said the treatment was beneficial. The procedure was not without complications. Five patients needed to have the wires implanted again, two patients had them removed because they were infected, and one had the device removed because of a complication. McCarthy said the therapy is not widely available, even though it was approved by the FDA in 2016. At the moment, its use is confined to more advanced medical centers where doctors have been trained in how to implant and regulate the device. Also, the procedure isn't covered by all insurance companies, so out-of-pocket costs to patients can be very high. It is, however, covered by Medicare, he said. For uninsured patients, the cost of having spine stimulation devices can range from $15,000 to $50,000 or more, according to a 2008 report funded by the Washington State Department of Labor and Industries. Spine stimulation is usually approved only after patients have not responded to other treatment, according to Blue Cross Blue Shield. Other insurance companies may have varying policies. McCarthy hopes that more doctors will be trained in the procedure and that it will become more available, especially because it has the potential to allow patients to stop taking opioids to control their pain. One pain specialist not involved with the study saw the benefits of this procedure. ""The results of this study are very significant,"" said Dr. Kiran Patel, director of neurosurgical pain at Lenox Hill Hospital in New York City. It shows long-term data that patients experienced significant pain relief and functional improvements, she said. ""In my pain practice and career, dorsal root ganglion stimulation therapy has been one of the most effective technologies available to combat chronic pain,"" Patel said. ""I encourage chronic pain patients to seek out physicians who are trained and experienced in the application of dorsal root ganglion stimulation therapy to determine if they are a candidate,"" she said. The findings were presented Sunday at the American Society of Anesthesiologists annual meeting, in San Francisco. Research presented at meetings is considered preliminary until published in a peer-reviewed journal. More information Visit the U.S. National Institute of Neurological Disorders and Stroke for more on back pain."
