dataset,record_id,label,prediction,confidence,text
healthfact,11025,0,1,0.9392073,FDA Panel Backs Novartis Drug For Treating Parkinson’s Dementia
healthfact,24465,0,1,0.93778324,"Here in Florida, I’ve slashed government by 10 percent. That's $7 billion."
healthfact,10748,1,0,0.93745804,"Humira Provides Effective, Non-Steroid Alternative for Eye Inflammation"
healthfact,8959,0,1,0.92980224,"Too many people missing out on health benefits of golf, says expert panel"
healthfact,26446,1,0,0.92920387,Stay-at-home orders “actually are the law of these states.”
healthfact,9673,0,1,0.9262106,'Female Viagra' gets mixed reviews
healthfact,9344,1,0,0.9239999,Hyperbaric oxygen: The mysterious therapy that saved a cancer survivor from radiation side effects
healthfact,21762,1,0,0.9191464,There's no scientific conclusion that (being gay) is genetic.
healthfact,10488,0,1,0.9159457,Genes offer predictions on leukemia
healthfact,16513,0,1,0.9119578,"Obamacare ""cuts seniors’ Medicare."
healthfact,9142,1,0,0.9037327,Cannabis Derivative Cannabidiol Reduces Seizures in Severe Epilepsy Disorder
healthfact,31938,0,1,0.90193295,"Newport developed marijuana cigarettes which will be available for purchase ""next year."
healthfact,27477,1,0,0.8993361,Black and white caterpillars can cause severe allergic reactions in some people who touch them.
healthfact,37869,1,0,0.8987289,COVID-19 doctors are reporting inexplicable blood-clotting and hematological complications in otherwise young and healthy patients.
healthfact,38620,1,0,0.8981483,"Opossums stop the spread of Lyme disease because they kill up to 4,000 ticks a week."
fakehealth,story_reviews_00964,0,1,0.89785546,"En Español By Alan Mozes HealthDay Reporter WEDNESDAY, Nov. 30, 2011 (HealthDay News) -- Eating baked or broiled fish as little as once a week may boost brain health and lower the risk for mild cognitive impairment and Alzheimer's disease, new brain scan research suggests. The study authors found that eating baked and broiled fish -- but not fried -- helps to preserve gray matter neurons, strengthening them in areas of the brain deemed critical to memory and cognition. ""Those who eat baked or broiled fish had larger brains,"" noted study author Dr. Cyrus Raji, a resident in the department of medicine at the University of Pittsburgh Medical Center, Mercy Hospital. ""They had larger brain cells in areas of the brain responsible for memory and learning. And the reason that's important is that these brain areas are at high risk for Alzheimer's disease."" In those people with larger brain volume, ""the risk for Alzheimer's and mild cognitive impairment went down by fivefold within five years following the brain scans we conducted,"" he said. Raji said he was ""amazed"" that this effect was seen with eating fish as little as one to four times a week. ""We're talking about just a half serving a day,"" he said. ""And that would be a very small lifestyle change that can affect disease risk a long time down the line."" Raji and his colleagues are slated to discuss their findings Wednesday at the annual meeting of the Radiological Society of North America, in Chicago. More than 5 million Americans have Alzheimer's disease, an incurable, age-related disorder that slowly destroys memory and thinking and language skills. Older adults with mild cognitive impairment have less severe memory loss than those with Alzheimer's but often go on to develop the disease. To assess the impact of fish on cognitive health, the authors focused on 260 mentally healthy elderly individuals drawn from the Cardiovascular Health Study, sponsored by the U.S. National Heart, Lung, and Blood Institute. All the participants underwent 3-D MRIs, so the researchers could map out the size of each individual's gray matter and track it over 10 years. They also completed the U.S. National Cancer Institute Food Frequency Questionnaire. The team then stacked up gray matter changes against dietary consumption as reported in the questionnaire. The questionnaires revealed that 163 of the study participants ate fish at least once a week, with most consuming fish between one and four times a week. With that information, the authors found that regardless of age, gender, physical activity routines, and/or educational achievement, race or weight, those who ate baked or broiled fish had larger mass in the hippocampus, precuneus, posterior cingulate and orbital frontal cortex regions of their brains. The team further observed that people who ate baked or broiled fish weekly displayed better so-called ""working memory,"" enabling them to more effectively execute routine tasks. But fish and chips lovers, take note: No cranial benefit was evident with respect to consumption of fried fish. The team cautioned that while eating baked and broiled fish appears to exert some cognitive benefit, other lifestyle and socioeconomic factors may play a role. For now, the connection must be viewed as an association, rather than a cause-and-effect. Dr. Richard Lipton, vice chair of neurology at the Albert Einstein College of Medicine in New York City, reiterated the point. ""One has to wonder if there are other factors associated with fish consumption that they didn't measure that might be protective,"" he said. ""Like maybe people who eat fish exercise more, or eat less total calories. Or they could be eating other components of a Mediterranean Diet, such as fruits and vegetables."" Lipton added that ""this group of researchers is really, really good,"" and called the study results ""a very interesting finding, and absolutely worthy of further exploration."" Research presented at scientific meetings should be considered preliminary until published in a peer-reviewed medical journal. More information For more on brain health, visit the Society for Neuroscience."
healthfact,34010,1,0,0.8978028,The snakehead fish can survive on land.
healthfact,27696,1,0,0.896268,Pokémon Go developer Niantic is working on a Harry Potter version of the hugely popular augmented-reality game.
healthfact,36124,1,0,0.89509964,Rolex sales records are so well-kept that they were used to solve an open homicide.
healthfact,12493,1,0,0.8910204,"An ""abortion procedure is actually safer than a vasectomy."
healthfact,3754,1,0,0.8860815,California lawmakers want to repeal HIV criminalization laws.
healthfact,11231,1,0,0.88284606,Another Potential Benefit of Cutting Calories: Better Memory
healthfact,24341,0,1,0.8828416,"Chile ranks third internationally in economic freedom, while the U.S. ranks 17th."
healthfact,41208,0,1,0.8815296,Increasing numbers of vaccines are associated with increasing rates of autism.
healthfact,25824,1,0,0.877047,There’s a “direct correlation” between North Carolina’s mask requirement and COVID-19 stabilization.
healthfact,9316,0,1,0.87299544,"Five-minute neck scan can spot dementia 10 years earlier, say scientists"
healthfact,37897,1,0,0.86927193,"Image of an anti-Semitic sign (""the real plague"") was captured at a COVID-19 anti-lockdown protest in Ohio in April 2020."
healthfact,19970,0,1,0.8670022,"Citizens Property Insurance has ""over $500 billion worth of risk, with less than $10 billion worth of surplus."
healthfact,27545,1,0,0.8640298,A Texas girl required surgery after she swallowed part of a fidget spinner while cleaning it.
fakehealth,story_reviews_01267,0,1,0.86400855,"Enlarge By RANDY MAYOR, AP Stroke belt residents were 32% more likely to eat two or more servings of fried fish each week than those in the rest of the country. TWO SERVINGS OF FISH TWO SERVINGS OF FISH The American Heart Association recommends at least two servings of fish each week for heart health. Types rich in omega-3 fatty acids are best. These are essential fatty acids that humans get through foods, including fish, nuts and some oils such as canola and flaxseed. Scientists say the fatty acids are linked to heart health and brain function and may reduce inflammation. Research has shown omega-3 fatty acids decrease the risk of arrhythmias (abnormal heartbeats), which can lead to sudden death, and triglyceride levels. WHICH FISH SHOULD YOU CHOOSE? Most omega-3 rich: • Salmon • Mackerel • Herring • Lake trout • Sardines • Albacore tuna Less omega-3 rich: • Cod • Haddock • Catfish • Sole Source: Fadi Nahab, M.D., Emory University Hospital The steep rate of death from stroke in a swath of Southern states often referred to as America's ""stroke belt"" may be linked to a higher consumption of fried fish in that region, new research suggests. A study published in today's Neurology shows people living in the stroke belt — which comprises North Carolina, South Carolina, Georgia, Alabama, Mississippi, Tennessee, Arkansas and Louisiana — eat more fried fish and less non-fried fish than people living in the rest of the country, and African-Americans eat more fried fish than Caucasians. ""Differences in dietary fish consumption, specifically in cooking methods, may be contributing to higher rates of stroke in the stroke belt and also among African Americans,"" says study author Fadi Nahab, medical director for the Stroke Program at Emory University Hospital in Atlanta. The research, part of a large government-funded study, Reasons for Geographic and Racial Differences in Stroke (REGARDS), involved 21,675 participants from across the country; the average age was 65. Of the participants, 21% were from the ""stroke buckle,"" the coastal plain region of North Carolina, South Carolina and Georgia where stroke mortality rates are even higher than they are in the rest of the stroke belt. Another 34% were from the rest of the stroke belt and 44% were from the other states. Participants were interviewed by phone and then given an in-home physical exam. The questionnaire asked how often they ate oysters, shellfish, tuna, fried fish and non-fried fish. The American Heart Association recommends people eat fish high in omega-3 fatty acids—essential fatty acids humans get through their diet—at least twice a week, baked or grilled but not fried. Fewer than one in four overall ate two or more servings of non-fried fish a week. Stroke belt residents were 32% more likely to eat two or more servings of fried fish each week than those in the rest of the country. African-Americans were more than 3.5 times more likely to eat two or more servings of fried fish each week than Caucasians, with an overall average of about one serving per week of fried fish compared with about half a serving for Caucasians. When it came to eating non-fried fish meals, stroke belt residents ate an average of 1.45 servings per week, compared with 1.63 servings eaten by people elsewhere. ""This is good stuff. It's a well-done study, but I think one thing to bear in mind is that it's not specifically a study of stroke risk. You're looking at a community and seeing how it's behaving on the whole,"" says Daniel Labovitz, a stroke neurologist at Montefiore Medical Center in the Bronx. ""This study can't tell you causation. It can't tell you there's a direct link between one thing and another, it just tells you they're associated,"" says stroke neurologist Victor Urrutia, an assistant professor at Johns Hopkins University School of Medicine. How might eating fried fish impact stroke? It could be that frying the fish leaches out the omega-3s, says Jeremy Lanford, stroke director at Scott & White Healthcare in Roundrock, Texas. Or the increased fat calorie content from the frying oil may contribute to stroke, says author Nahab. He also notes that fish used for frying, such as cod and haddock, tend to be the types lower in healthy fats. More research is needed to tease out whether cooking methods affect stroke risk, Labovitz says. ""In other words, is fried fish a problem, or is it another red herring?"" he says. The study was supported by the National Institute of Neurological Disorders and Stroke, the National Institutes of Health, and the Department of Health and Human Services. Funding was provided by General Mills for coding of the food frequency questionnaire. Guidelines: You share in the USA TODAY community, so please keep your comments smart and civil. Don't attack other readers personally, and keep your language decent. Use the ""Report Abuse"" button to make a difference. You share in the USA TODAY community, so please keep your comments smart and civil. Don't attack other readers personally, and keep your language decent. Use the ""Report Abuse"" button to make a difference. Read more"
healthfact,9793,0,1,0.8635758,"I’ll Take a Sperm Test, to Go: First at-Home Male-Infertility Test Debuts"
healthfact,27974,1,0,0.85961115,An anti-seat belt law advocate was killed in automobile accident.
healthfact,9838,1,0,0.8589245,Gene test could spare women from unnecessary radiation
healthfact,18469,0,1,0.8574471,Abortionists have reduced our black population by more than 25 percent since 1973.
healthfact,27849,1,0,0.8557507,A woman sought medical help to remove a deer tongue she had used for self-pleasuring purposes.
healthfact,26589,1,0,0.84957254,Facebook post Says truck drivers are being turned away from fast-food restaurants during the COVID-19 pandemic.
fakehealth,story_reviews_00634,0,1,0.84571564,"They did so to offer support, but also to spread awareness, because they say too often life and death for someone having a cardiac arrest comes down to chance. If a bystander performs CPR while medics are on their way, survival rates more than double, doctors say."
healthfact,23881,1,0,0.84457237,Bill McCollum holds the same position on (embryonic stem cell research) as Barack Obama.
healthfact,15933,1,0,0.843975,"Miscellany Blue Says a ""lawmaker seeks to defund Planned Parenthood for ‘cutting children into small pieces.’"
healthfact,17205,1,0,0.83991605,Today’s marijuana is 300 percent to 800 percent more potent than the pot of yesteryear.
healthfact,21930,1,0,0.83955526,"An amendment inserted by lawmakers into the state budget ""exempts scientific researchers from all state animal cruelty laws."
healthfact,28214,1,0,0.8389209,"People can fly with dogs, pot-bellied pigs, turkeys, monkeys, and miniature horses if they claim that their pets are emotional support animals."
healthfact,27241,1,0,0.83718127,A 26-year-old man named Alex Smith of Minneapolis died because he had aged out of his mother's health insurance and couldn't afford insulin.
healthfact,33799,0,1,0.83694977,More women are victims of domestic violence on Super Bowl Sunday than on any other day of the year.
healthfact,22809,0,1,0.8363209,Texas Veterans Commission Says one out of three U.S. homeless men is a veteran.
healthfact,41006,1,0,0.83578795,Apple has reopened all 42 China stores.
fakehealth,story_reviews_00945,0,1,0.8355716,"By Alan Mozes HealthDay Reporter THURSDAY, Jan. 5, 2012 (HealthDay News) -- Preliminary findings suggest a drug used to treat another disease might also reduce painful flare-ups in gout patients starting new medication regimens. In a new study, the protein-inhibitor drug rilonacept (Arcalyst) appeared to markedly lower the risk of gout flare-ups during the first few months of treatments aimed at lowering uric acid levels. While effective in lowering the risk for gout attacks in the long-term, uric acid-lowering treatment can initially boost the risk for flare-ups as it breaks up and releases the uric acid crystal deposits at the source. ""To reduce deposits of crystals in the joints, we advise patients to initiate treatment with medications that lower levels of uric acid in the blood,"" study author Dr. H. Ralph Schumacher, Jr., a professor of medicine at the University of Pennsylvania School of Medicine, said in a journal news release. Gout, a debilitating and painful form of inflammatory arthritis, now affects upwards of 8.3 million Americans, according to the release. Flare-ups , which involve excruciating joint pain, redness, swelling and warmth, can last days or weeks. The researchers wanted to learn if rilonacept could lower this short-term risk for by neutralizing a specific target protein -- interleukin 1 or IL-1 -- before it initiates inflammation. They looked at 83 gout patients in 27 U.S. study centers who had a history of gout flare-ups and high levels of uric acid. All were placed on a chronic uric-acid lowering regimen of the standard drug allopurinol. About half were also given an initial double-dose injection of rilonacept (320 milligrams) followed by a single dose for 16 weeks. The other half received sugar pills. Rilonacept patients were less likely to have flare-ups, with 15 percent experiencing flare-ups three-months into the study compared with 45 percent among the non-rilonacept group, the researchers found. ""Well-tolerated drugs that reduce the risk of gout flares when initiating uric-acid lowering therapy could make patients more likely to continue important long-term treatments that control gout,"" Schumacher said in the release. ""(And) this trial provides well-controlled evidence that this IL-1 blocker is effective in preventing acute gout flares in this setting,"" he added. ""Rilonacept appears safe and well tolerated and could increase patient adherence to long-term urate-lowering therapy."" The study appeared online Jan. 5 in the journal Arthritis & Rheumatism. Dr. Michael A. Becker, a professor emeritus of medicine at the University of Chicago, described the findings as ""very promising."" However, he cautioned that the high cost of rilonacept will most likely curtail its use. ""This is a very expensive drug,"" he said. ""And insurance will be an issue. So I think you will have to carefully justify its use and define the universe of patients who are likely to be treated with it."" ""But there are a number of patients who can't take a less expensive alternative, such as nonsteroidal anti-inflammatory drugs, because of their kidney function or ulcer disease,"" Becker noted. ""So for this population of patients who can't tolerate cheaper medications, rilonacept may be a necessary indication."" More information For more on gout, visit the U.S. National Library of Medicine."
fakehealth,story_reviews_00998,0,1,0.83412963,"By Denise Mann HealthDay Reporter MONDAY, Oct. 10, 2011 (HealthDay News) -- An experimental Alzheimer's disease drug, gantenerumab, may help lower levels of amyloid plaque in the brains of people with the disease, an early clinical trial indicates. The new study, which appears online Oct. 10 in the Archives of Neurology, is among the first to show the effects of an anti-amyloid drug in humans with Alzheimer's disease, but experts caution that while promising, more research is needed before this drug can be deemed safe or effective. And, in what may turn out to be an equally important caveat, experts also say that it's by no means certain that reducing levels of amyloid plaque would stave off memory loss and the other mental declines associated with the disease because the role of the plaque in Alzheimer's isn't fully understood. Alzheimer's disease is the most common form of dementia. Symptoms including serious memory loss, confusion and mood changes develop gradually and worsen with time. Recently, many strides have been made in diagnosing Alzheimer's disease earlier, but doctors have been stymied by a lack of effective treatments to stop or slow the course of the disease. It's long been known that a protein fragment called beta-amyloid builds up in the spaces between nerve cells in the brains of people with Alzheimer's disease. The new drug, gantenerumab, targets these amyloid proteins by priming the body's immune system to recognize them as invaders. Of 16 people with mild-to-moderate Alzheimer's disease, those who received two to seven infusions of the experimental drug every four weeks showed marked reductions in the amount of plaque in their brains via imaging tests that were conducted several months after their treatments. By contrast, amyloid load increased among people who were randomized to receive the placebo. The new drug was given at either 60 or 200 milligrams (mg) doses. The higher dose yielded greater reductions in amyloid levels, the study showed. People who were given the 60 mg doses saw a nearly 16 percent reduction in the amount of amyloid, and those given the 200 mg doses saw a 36 percent reduction. The new study was conducted and funded by the drug's manufacturer, F. Hoffmann-LaRoche Ltd., in Basel, Switzerland. The big question is whether or not reducing amyloid levels has any effect on the symptoms or progression of Alzheimer's disease, said Dr. Patrick Lyden, chief of neurology at Cedars-Sinai Medical Center in Los Angeles. ""There is a growing concern that amyloid is a guilty bystander, but not the actual culprit in the brains of people with Alzheimer's disease, and taking away the bystander may not help the patient,"" he said. There are approximately one dozen therapies, including vaccines, for Alzheimer's disease that are currently in the pipeline, Lyden noted. ""They are all extremely exciting and promising in animals,"" he said. ""This is the first one to show a preliminary result in people, but we have a huge way to go to make sure it is safe and improves symptoms."" Many in the Alzheimer's research community are awaiting these drugs with bated breath, but ""none are ready for prime time,"" he said. The leading theory of Alzheimer's disease is that an imbalance in the production or clearance of the amyloid plaque in the brain initiates a cascade of events that lead to dementia, explained Dr. Neelum Aggarwal, an associate professor of neurological sciences at Rush Alzheimer's Disease Research Center at Rush University Medical Center in Chicago. ""Accumulation of the plaques cause a variety of cellular responses: inflammation, neuronal death, and thus any potential treatment that can alter these processes would be beneficial,"" she said. The hope is that gantenerumab or other drugs like it will not only prevent amyloid from accumulating in the brain, but also slow down the cognitive impairment that occurs in people with Alzheimer's disease, she added. That said, these experimental drugs carry the potential for serious side effects, including causing the immune system to go haywire. ""The main issue that remains for this type of drug development is managing the immune response,"" Aggarwal said. Other side effects include a potentially fatal fluid build-up in certain areas of the brain. ""This is problematic in that use of these treatments may carry a very high risk for neurologic complications, thus necessitating heightened monitoring, and diminishing its applicability as a treatment for a larger patient population such as the Alzheimer's disease population,"" she said. If any of these drugs make it through the pipeline, it also needs to be determined who will get them, including whether the drugs will be given to prevent Alzheimer's in patients at high-risk of the disease or to treat it once it's started. The need for a drug to delay the onset or slow progression of Alzheimer's disease can't be underestimated, Aggrawal said. In the United States alone, there are 5.4 million people with Alzheimer's disease, and the numbers are expected to increase to 13 million by 2050, when approximately three of every five people over the age of 85 will have Alzheimer's disease, she said. More information For more information about Alzheimer's disease signs, symptoms and treatments, visit the Alzheimer's Association."
healthfact,10335,1,0,0.833676,"Mending broken sleep: Sleep apnea, the dangerous cessation of breathing during sleep, is being diagnosed more and more. A simple machine can bring refreshing relief"
healthfact,16846,1,0,0.83204263,"After Massachusetts passed a mandatory health insurance law ""their mortality rate went down...it saved lives."
healthfact,9409,1,0,0.82964134,Gone With A Shot? Hopeful New Signs Of Relief For Migraine Sufferers
healthfact,9364,1,0,0.82511044,This Blood Test Could Help Predict If A Pregnancy Is At Risk For Premature Labor
healthfact,28228,1,0,0.822415,"Dr. Leon Eisenberg, the ‘father’ of ADHD, said just before his death that ADHD ‘is a prime example of a fictitious disease.’"
healthfact,37891,1,0,0.81811565,"Image of a COVID-19 anti-lockdown protester's sign calling to re-open ""Pennslvania"" and referencing ""we the peaple"" is not doctored or altered in any way."
healthfact,18440,0,1,0.81796014,"Oregon Health Authority Says that in 2007, ""Oregon ranked 25th -- or 7th from the bottom -- in percentage of children with untreated decay compared to 32 other states with similar data."
fakehealth,story_reviews_01461,0,1,0.8156506,"By Steven Reinberg HealthDay Reporter TUESDAY, Aug. 17, 2010 (HealthDay News) -- Less invasive biopsies done with the help of imaging to guide the needle now make up the majority of biopsies being done, a new study finds. In fact, the use of these minimally invasive biopsies increased from 59 percent to 67 percent of all biopsies between 1997 and 2008, a trend which is likely to continue, one expert noted. A biopsy involves the removal of tissue or fluids to test for disease. ""Doing image-guided biopsy allows more definitive diagnosis and shorter hospital stays,"" said Dr. Robert Quencer, chair of radiology at the University of Miami Miller School of Medicine, who was not involved on the study. In addition, image-guided biopsies are more accurate, Quencer said. ""This is a trend throughout the whole country. I doubt there is any variation to this in any major medical center."" The report is published online and in the September print edition of Radiology. For the study, a team led by Dr. Sharon W. Kwan, a radiology resident at the University of California, San Francisco, looked at biopsies done among Medicare patients from 1997 through 2008. During that time, the number of biopsies increased from 1,380 per 100,000 in 1997 to 1,945 per 100,000 in 2008. That's an annual growth of 3 percent in number of biopsies, the researchers noted. Moreover, by 2008, 67 percent of these biopsies were being done through the skin with the help of CT scans, ultrasound and MRI, Kwan's group found. ""We also found that the use of imaging guidance increased over this time period, most likely because the technique enables more efficient and safe targeting of lesions,"" Kwan said in a news release. This increase in less-invasive biopsies went along with a decrease in the number of more-invasive biopsies and through-the-skin biopsies where no imaging was used, the researchers found. The only two areas where needle biopsies were not the majority of biopsies done were biopsies of lymph nodes and soft tissues. For these areas, open biopsies are easier to do and need less imaging guidance, Kwan's team noted. Quencer thinks the use of image-guided biopsies will continue to increase over time, even for lymph nodes and soft tissues. ""In time, I would expect 80 to 90 percent of biopsies will be image-guided biopsies,"" he said. More information For more information on biopsies, visit the U.S. National Library of Medicine."
fakehealth,story_reviews_00257,0,1,0.81520754,"(CNN) An aspirin a day may keep the doctor away. It may also reduce your chances of dying from cancer, according to a study on long-term regular aspirin use and different kinds of cancer. Yin Cao, an instructor in the Medicine, Clinical and Translational Epidemiology Unit at Massachusetts General Hospital and Harvard Medical School, presented the information Monday at the American Association for Cancer Research meeting in Washington. Cao looked at data from over 86,000 women who were part of the Nurses' Health Study between 1980 and 2012 and over 43,000 men who were part of the Health Professionals Follow-Up Study from 1986 to 2012. Over that 32-year period, over 8,200 women and nearly 4,600 men died of cancer. The risk of death overall was 7% lower for women and 11% for men who took aspirin regularly, compared with those who did not. The risk of dying from cancer was 7% lower for women and 15% lower for men who took aspirin regularly, compared with those who didn't take a regular dose. The strongest connection was with colorectal cancer: There was a 31% lower risk for women and 30% for men who were among regular aspirin takers, as other studies have showed. But it also lowered women's risk of dying from breast cancer by 11% and men's risk of dying from prostate cancer by 23%. Men's risk of dying from lung cancer was also lower. ""Evidence has been accumulating very rapidly showing aspirin works in reducing cancer and cardiovascular disease mortality,"" Cao said. ""It is good to remember, though, if a person wants to take a low-dose aspirin, especially if a person has had cancer, they will want to have an initial conversation with their doctor first."" Not everyone can take aspirin, particularly if you are at high risk for ulcers and gastrointestinal bleeding. Studies have showed an increased risk of both when taking a daily aspirin, but the benefit does outweigh the risk for most other people. Rulla Tamimi , the epidemiology chair for the American Association for Cancer Research annual meeting, thought the presentation was a beneficial one, particularly since scientists are trying to better understand drugs we may all have in our medicine cabinets. ""There has been a great deal of interest in understanding the possible benefits associated with common drugs,"" Tamimi said in an emailed statement. ""This study found strong evidence that aspirin use may reduce cancer death. The study was well conducted and was able to control for a number of important confounders. Therefore the findings are believed to be very robust, and suggest that aspirin, which is widely available, cheap and has limited toxicity, has the potential to have widespread benefit on cancer mortality for breast, colon, lung and prostate cancer."" Studies have also found that aspirin can help patients who have had (or are at high risk for) a heart attack or stroke, and of course it is a good drug to relieve pain. Even the ancient Egyptians used the natural form of it for pain relief centuries ago. In April 2016, the US Preventive Service Task Force said in a final recommendation statement that taking a regular low-dose aspirin a day may prevent colon cancer and cardiovascular disease for adults between 50 and 69 who have a 10% or greater risk of cardiovascular disease or colorectal cancer. Join the conversation See the latest news and share your comments with CNN Health on Facebook and Twitter. Cao hopes her study will continue to broaden the body of research to include cancer-related deaths overall. Next, her group hopes to study what specific groups may most benefit from this practice, particularly based on those individuals with varying cancer risk."
healthfact,38078,1,0,0.81397456,"Pope Francis bestowed the Pontifical Medal upon Lilianne Ploumen, a Dutch pro-abortion activist."
fakehealth,story_reviews_00281,0,1,0.8128967,"Prescribing testosterone for age-related deficiency — which is only vaguely defined — took off in 2000. The trend was driven not by solid scientific evidence, but by the introduction of convenient, rub-on testosterone products, the first being Androgel. Many men are put on testosterone with no tests of their levels or despite tests showing normal levels, a study of Medicare claims found."
healthfact,36020,1,0,0.8105106,"South Dakota launched a campaign against methamphetamine addiction with the tagline ""Meth. We're On It."
healthfact,15592,0,1,0.80937064,The proportion of Rhode Islanders entering substance abuse treatment primarily due to marijuana use has reached its highest point in 20 years.
healthfact,27167,1,0,0.80914176,"A list of chemicals, written as if they were ingredients on a food label, accurately depicts the chemical composition of a banana."
